,Kategori Wilayah,Kode Wilayah,Nama Wilayah
335,Kelurahan,1102032018,Kuning II
336,Kelurahan,1102032019,Cinta Damai
337,Kelurahan,1102032020,Likat
338,Kelurahan,1102032021,Rikit
339,Kelurahan,1102032023,Bambel
340,Kelurahan,1102032025,Lawe Kihing
341,Kelurahan,1102032026,Terutung Seperai
342,Kelurahan,1102032027,Kute Seri
343,Kelurahan,1102032028,Kuta Antara
344,Kelurahan,1102032029,Pulo Perengge
345,Kelurahan,1102032031,Pulo Kendondong
346,Kelurahan,1102032033,Pancakh Iman
347,Kelurahan,1102032034,Biak Muli Baru
348,Kelurahan,1102032035,Biak Muli Pantai Raja
349,Kelurahan,1102032036,Biak Muli Sejahtera
350,Kelurahan,1102032037,Lembah Haji
351,Kelurahan,1102032038,Terutung PayungGabungan
352,Kelurahan,1102032039,Lawe Hijo Metuah
353,Kelurahan,1102032040,Ampera
354,Kelurahan,1102032041,Tembilakh Mbakhu
355,Kelurahan,1102032042,Kute Lang-Lang Bakhu
356,Kelurahan,1102042001,Kota Kutacane
357,Kelurahan,1102042002,Perapat Hilir
358,Kelurahan,1102042003,Perapat Hulu
359,Kelurahan,1102042004,Muara Lawe Bulan
360,Kelurahan,1102042005,Mbarung
361,Kelurahan,1102042006,Batu Mbulan Asli
362,Kelurahan,1102042007,Batu Mbulan I
363,Kelurahan,1102042008,Batu Mbulan II
364,Kelurahan,1102042009,Kampung Raja
365,Kelurahan,1102042010,Pulonas
366,Kelurahan,1102042011,Kampung Melayu Gabungan
367,Kelurahan,1102042012,Terutung Pedi
368,Kelurahan,1102042013,Kute Rih
369,Kelurahan,1102042014,Gumpang Jaya
370,Kelurahan,1102042015,Pulo Latong
371,Kelurahan,1102042016,Kutacane Lama
372,Kelurahan,1102042017,Batu Mbulan Mbaru
373,Kelurahan,1102042018,Pulo Peding
374,Kelurahan,1102042019,Mendabe
375,Kelurahan,1102042020,Ujung Barat
376,Kelurahan,1102042021,Pekhapat Titi Panjang
377,Kelurahan,1102042022,Pekhapat Sepakat
378,Kelurahan,1102042023,Alas Marantcar
379,Kelurahan,1102042024,Batu Mbulan Sepakat
380,Kelurahan,1102042025,Pulo Sanggakh
381,Kelurahan,1102042026,Melayu I
382,Kelurahan,1102042027,Mbarung Datuk Saudane
383,Kelurahan,1102052005,Salang Alas
384,Kelurahan,1102052009,Kuta Pasir
385,Kelurahan,1102052011,Purwodadi
386,Kelurahan,1102052012,Kuta Tinggi
387,Kelurahan,1102052013,Kampung Baru
388,Kelurahan,1102052014,Peranginan
389,Kelurahan,1102052015,Natam
390,Kelurahan,1102052025,Kumbang Jaya
391,Kelurahan,1102052026,Kumbang Indah
392,Kelurahan,1102052027,Natam Baru
393,Kelurahan,1102052029,Deleng Megakhe
394,Kelurahan,1102052030,Lawe Bekung
395,Kelurahan,1102052031,Lawe Bekung Tampahan
396,Kelurahan,1102052032,Badar Indah
397,Kelurahan,1102052033,Batu Mbekhong
398,Kelurahan,1102052034,Tanah Merah
399,Kelurahan,1102052035,Tanoh Megakhe
400,Kelurahan,1102052036,Lawe Sekerah
401,Kelurahan,1102062001,Pardomuan  II
402,Kelurahan,1102062002,Lawe Desky I
403,Kelurahan,1102062003,Lawe Desky Sabas
404,Kelurahan,1102062004,Pardomuan  I
405,Kelurahan,1102062005,Cinta Damai
406,Kelurahan,1102062006,Pardamean
407,Kelurahan,1102062007,Lawe Desky Tongah
408,Kelurahan,1102062008,Kute Bakti
409,Kelurahan,1102062010,Muara Situlen
410,Kelurahan,1102062011,Sejahtera
411,Kelurahan,1102062012,Kute Makmur
412,Kelurahan,1102062013,Pardamean
413,Kelurahan,1102062014,Lawe Mantik
414,Kelurahan,1102062015,Cinta Makmur
415,Kelurahan,1102062016,Muara Setia
416,Kelurahan,1102062017,Tanoh Alas
417,Kelurahan,1102062018,Sejahtera Baru
418,Kelurahan,1102062024,Lawe Tawakh
419,Kelurahan,1102062025,Sabilussalam
420,Kelurahan,1102062026,Lawe Desky Jaya
421,Kelurahan,1102062027,Pintu Alas
422,Kelurahan,1102072001,Gulo
423,Kelurahan,1102072002,Pulo Piku
424,Kelurahan,1102072003,Terutung Kute
425,Kelurahan,1102072004,Kute Ujung
426,Kelurahan,1102072005,Lawe Stul
427,Kelurahan,1102072006,Kite Merangun
428,Kelurahan,1102072007,Mamas
429,Kelurahan,1102072008,Tanjung Lama
430,Kelurahan,1102072009,Tanjung Muda
431,Kelurahan,1102072010,Rambung Teldak
432,Kelurahan,1102072011,Tanjung Aman
