code,display,system
3920009,Hemoglobin Atago,http://snomed.info/sct
3930000,Manufactured gas,http://snomed.info/sct
3932008,^64^Copper,http://snomed.info/sct
3941003,Metronidazole hydrochloride,http://snomed.info/sct
3945007,Tin isotope,http://snomed.info/sct
3958008,^245^Californium,http://snomed.info/sct
3961009,Blood group antigen Ritherford,http://snomed.info/sct
3976001,Blood group antigen HEMPAS,http://snomed.info/sct
3982003,Oxaloacetate decarboxylase,http://snomed.info/sct
3983008,"N,-N-dimethyltryptamine",http://snomed.info/sct
3990003,Alkaline phosphatase bone isoenzyme,http://snomed.info/sct
3994007,Hemoglobin Tampa,http://snomed.info/sct
4024008,Soft metal,http://snomed.info/sct
4025009,Captodiame,http://snomed.info/sct
4043008,Etidocaine hydrochloride,http://snomed.info/sct
4047009,"cis-1,2-Dihydrobenzene-1,2-diol dehydrogenase",http://snomed.info/sct
4048004,"1,1,2,2-Tetrachloro-1,2- difluoroethane",http://snomed.info/sct
4067000,Chorismate mutase,http://snomed.info/sct
4076007,PTH - Parathyroid hormone,http://snomed.info/sct
4077003,Dihydrolipoamide succinyltransferase,http://snomed.info/sct
4080002,"Hemoglobin Grady, Dakar",http://snomed.info/sct
4091009,Enteropeptidase,http://snomed.info/sct
4097008,Apo-SAA complex,http://snomed.info/sct
4104007,Chondroitin sulfate,http://snomed.info/sct
4105008,Adenylate cyclase,http://snomed.info/sct
4115002,Blood group antibody Norlander,http://snomed.info/sct
4137009,sec-Butyl acetate,http://snomed.info/sct
4153007,Long-chain-enoyl-coenzyme A hydratase,http://snomed.info/sct
4167003,PECAM-1 - Platelet endothelial cell adhesion molecule-1,http://snomed.info/sct
4169000,Blood group antibody Le^bH^,http://snomed.info/sct
4177001,Hemoglobin Long Island-Marseille,http://snomed.info/sct
4182008,Cytidine diphosphate (CDP) diacylglycerol-serine O-phosphatidyl-transferase,http://snomed.info/sct
4188007,Fibrinogen Sydney II,http://snomed.info/sct
4200007,Neriifolin,http://snomed.info/sct
4201006,6-Aminohexanoate-dimer hydrolase,http://snomed.info/sct
4203009,Imipramine pamoate,http://snomed.info/sct
4207005,Cortisone beta-reductase,http://snomed.info/sct
4217000,Fluorosilicate salt,http://snomed.info/sct
4218005,"Immunoglobulin, GM>23< allotype",http://snomed.info/sct
4231000,Gallium isotope,http://snomed.info/sct
4239003,Glycerol dehydrogenase,http://snomed.info/sct
4255005,Americium 241,http://snomed.info/sct
4289006,Keyhole-limpet hemocyanin,http://snomed.info/sct
4290002,Linamarin synthase,http://snomed.info/sct
4314009,Blood group antibody Allchurch,http://snomed.info/sct
4334005,Tar oil,http://snomed.info/sct
4342006,2-Aminopyridine,http://snomed.info/sct
4353000,Di-n-butylphthalate,http://snomed.info/sct
4355007,Coagulation factor IX San Dimas variant,http://snomed.info/sct
4362003,4-Coumarate-coenzyme A ligase,http://snomed.info/sct
4382004,Centrally acting hypotensive agent,http://snomed.info/sct
4393002,Blood group antigen Fedor,http://snomed.info/sct
4401009,Blood group antibody H>T<,http://snomed.info/sct
4413004,Benzypyrinium,http://snomed.info/sct
4422003,Blood group antigen,http://snomed.info/sct
4423008,Fibrinogen New York II,http://snomed.info/sct
4425001,Blood group antibody Binge,http://snomed.info/sct
4437004,^127^Cesium,http://snomed.info/sct
4471008,^244^Californium,http://snomed.info/sct
4479005,Hemoglobin Brockton,http://snomed.info/sct
4509009,Plant phenanthrene toxin,http://snomed.info/sct
4518006,Buthenal,http://snomed.info/sct
4534009,^208^Bismuth,http://snomed.info/sct
4540002,Adenosine diphosphate (ADP) deaminase,http://snomed.info/sct
4546008,Tetradecanoic acid,http://snomed.info/sct
4555006,Blood group antibody Rils,http://snomed.info/sct
4560005,Hemoglobin Mizuho,http://snomed.info/sct
4561009,Arginine decarboxylase,http://snomed.info/sct
4564001,Blood group antibody Sisson,http://snomed.info/sct
4567008,Galactose-1-phosphate thymidylyltransferase,http://snomed.info/sct
4582003,Blood group antigen N^A^,http://snomed.info/sct
4591004,MNS22 (ISBT symbol),http://snomed.info/sct
4610008,Senile cardiac protein,http://snomed.info/sct
4616002,Triclobisonium chloride,http://snomed.info/sct
4635002,Arterial blood,http://snomed.info/sct
4643007,Calf thymus ribonuclease H,http://snomed.info/sct
4656000,Alcian blue 8GX stain,http://snomed.info/sct
4674009,"2,3-Dihydroxybenzoate serine ligase",http://snomed.info/sct
4693006,Chromium^51^ albumin,http://snomed.info/sct
4700006,Bovine insulin,http://snomed.info/sct
4704002,Iothiouracil,http://snomed.info/sct
